date,ture_value,l_1-N_[2]_b_105/200,per_b_105/200,l_1-N_[2]_opt_199/200,per_opt_199/200,last_199/200,last_per_199/200,overall_opt_199/200,overall_opt_per_199/200
2018-06-05,8.17,8.211058236067812,0.50%,8.197566296799867,0.34%,8.197566296799867,0.34%,8.197566296799867,0.34%
2018-06-06,8.24,8.215193772377862,0.30%,8.203477421318919,0.44%,8.203477421318919,0.44%,8.203477421318919,0.44%
2018-06-07,8.2,8.288895486249421,1.08%,8.27612377053424,0.93%,8.27612377053424,0.93%,8.27612377053424,0.93%
2018-06-08,8.17,8.264381723065075,1.16%,8.247102568426973,0.94%,8.247102568426973,0.94%,8.247102568426973,0.94%
2018-06-11,8.24,8.212729393737634,0.33%,8.201709654034653,0.46%,8.201709654034653,0.46%,8.201709654034653,0.46%
2018-06-12,8.71,8.286210435919804,4.87%,8.274191352526422,5.00%,8.274191352526422,5.00%,8.274191352526422,5.00%
2018-06-13,8.67,8.753406519099267,0.96%,8.742741129842774,0.84%,8.742741129842774,0.84%,8.742741129842774,0.84%
2018-06-14,8.62,8.798553206461882,2.07%,8.763042622161079,1.66%,8.763042622161079,1.66%,8.763042622161079,1.66%
2018-06-15,8.63,8.729933576255565,1.16%,8.69999184175687,0.81%,8.69999184175687,0.81%,8.69999184175687,0.81%
2018-06-19,8.62,8.666884736072896,0.54%,8.657515037723089,0.44%,8.657515037723089,0.44%,8.657515037723089,0.44%
2018-06-20,8.4,8.658435647504033,3.08%,8.648816777741647,2.96%,8.648816777741647,2.96%,8.648816777741647,2.96%
2018-06-21,8.62,8.509500824055674,1.28%,8.47936828005401,1.63%,8.47936828005401,1.63%,8.47936828005401,1.63%
2018-06-22,8.96,8.679602794057272,3.13%,8.664121514228675,3.30%,8.664121514228675,3.30%,8.664121514228675,3.30%
2018-06-25,8.84,9.003198081758185,1.85%,8.992044199572957,1.72%,8.992044199572957,1.72%,8.992044199572957,1.72%
2018-06-26,8.83,8.908682989031707,0.89%,8.890281316627618,0.68%,8.890281316627618,0.68%,8.890281316627618,0.68%
date,ture_value,l_1-N_[2]_b_105/500,per_b_105/500,l_1-N_[2]_opt_499/500,per_opt_499/500,last_499/500,last_per_499/500,overall_opt_499/500,overall_opt_per_499/500
2018-06-05,8.17,8.211058236067812,0.50%,8.184879407834675,0.18%,8.184879407834675,0.18%,8.184879407834675,0.18%
2018-06-06,8.24,8.215193772377862,0.30%,8.192344895063,0.58%,8.192344895063,0.58%,8.192344895063,0.58%
2018-06-07,8.2,8.288895486249421,1.08%,8.264051490489015,0.78%,8.264051490489015,0.78%,8.264051490489015,0.78%
2018-06-08,8.17,8.264381723065075,1.16%,8.230934646895358,0.75%,8.230934646895358,0.75%,8.230934646895358,0.75%
2018-06-11,8.24,8.212729393737634,0.33%,8.191215372170076,0.59%,8.191215372170076,0.59%,8.191215372170076,0.59%
2018-06-12,8.71,8.286210435919804,4.87%,8.26281889063988,5.13%,8.26281889063988,5.13%,8.26281889063988,5.13%
2018-06-13,8.67,8.753406519099267,0.96%,8.732310927029216,0.72%,8.732310927029216,0.72%,8.732310927029216,0.72%
2018-06-14,8.62,8.798553206461882,2.07%,8.73016424081742,1.28%,8.73016424081742,1.28%,8.73016424081742,1.28%
2018-06-15,8.63,8.729933576255565,1.16%,8.671793977278615,0.48%,8.671793977278615,0.48%,8.671793977278615,0.48%
2018-06-19,8.62,8.666884736072896,0.54%,8.648578554496682,0.33%,8.648578554496682,0.33%,8.648578554496682,0.33%
2018-06-20,8.4,8.658435647504033,3.08%,8.639524793720465,2.85%,8.639524793720465,2.85%,8.639524793720465,2.85%
2018-06-21,8.62,8.509500824055674,1.28%,8.45144395570118,1.96%,8.45144395570118,1.96%,8.45144395570118,1.96%
2018-06-22,8.96,8.679602794057272,3.13%,8.649304228957769,3.47%,8.649304228957769,3.47%,8.649304228957769,3.47%
2018-06-25,8.84,9.003198081758185,1.85%,8.98148799935513,1.60%,8.98148799935513,1.60%,8.98148799935513,1.60%
2018-06-26,8.83,8.908682989031707,0.89%,8.873016013891936,0.49%,8.873016013891936,0.49%,8.873016013891936,0.49%
date,ture_value,l_1-N_[2]_b_764/1000,per_b_764/1000,l_1-N_[2]_opt_999/1000,per_opt_999/1000,last_999/1000,last_per_999/1000,overall_opt_999/1000,overall_opt_per_999/1000
2018-06-05,8.17,8.180864097463047,0.13%,8.17878982655904,0.11%,8.17878982655904,0.11%,8.17878982655904,0.11%
2018-06-06,8.24,8.18878444185132,0.62%,8.186934257038697,0.64%,8.186934257038697,0.64%,8.186934257038697,0.64%
2018-06-07,8.2,8.26021146049261,0.73%,8.25822248285728,0.71%,8.25822248285728,0.71%,8.25822248285728,0.71%
2018-06-08,8.17,8.225845195345165,0.68%,8.22322365407105,0.65%,8.22322365407105,0.65%,8.22322365407105,0.65%
2018-06-11,8.24,8.187851454316315,0.63%,8.186101274506166,0.65%,8.186101274506166,0.65%,8.186101274506166,0.65%
2018-06-12,8.71,8.259197839168868,5.18%,8.257321460868152,5.20%,8.257321460868152,5.20%,8.257321460868152,5.20%
2018-06-13,8.67,8.728876938312983,0.68%,8.72706287540045,0.66%,8.72706287540045,0.66%,8.72706287540045,0.66%
2018-06-14,8.62,8.719976452260928,1.16%,8.714784618746096,1.10%,8.714784618746096,1.10%,8.714784618746096,1.10%
2018-06-15,8.63,8.662874507086714,0.38%,8.658265449637033,0.33%,8.658265449637033,0.33%,8.658265449637033,0.33%
